identifier,relationType,relatedIdentifier,relatedIdentifierType,resourceTypeGeneral
10.13140/rg.2.2.29235.04641/1,IsNewVersionOf,10.13140/rg.2.2.29235.04641,DOI,NA
10.13140/rg.2.2.29063.01447/2,IsNewVersionOf,10.13140/rg.2.2.29063.01447/1,DOI,NA
10.13140/rg.2.2.14610.68802/1,IsNewVersionOf,10.13140/rg.2.2.14610.68802,DOI,NA
10.13140/rg.2.2.28740.24964/2,IsNewVersionOf,10.13140/rg.2.2.28740.24964/1,DOI,NA
10.13140/rg.2.2.13826.71369/1,IsNewVersionOf,10.13140/rg.2.2.13826.71369,DOI,NA
10.13140/rg.2.2.15137.43363/1,IsNewVersionOf,10.13140/rg.2.2.15137.43363,DOI,NA
10.13140/rg.2.2.31738.93129/1,IsNewVersionOf,10.13140/rg.2.2.31738.93129,DOI,NA
10.13140/rg.2.2.20168.96004/1,IsNewVersionOf,10.13140/rg.2.2.20168.96004,DOI,NA
10.13140/rg.2.2.20766.97603/1,IsNewVersionOf,10.13140/rg.2.2.20766.97603,DOI,NA
10.13140/rg.2.2.31321.75365/1,IsNewVersionOf,10.13140/rg.2.2.31321.75365,DOI,NA
10.13140/rg.2.2.22781.10726/1,IsNewVersionOf,10.13140/rg.2.2.22781.10726,DOI,NA
10.13140/rg.2.2.20805.47848/1,IsNewVersionOf,10.13140/rg.2.2.20805.47848,DOI,NA
10.13140/rg.2.2.30298.16322/1,IsNewVersionOf,10.13140/rg.2.2.30298.16322,DOI,NA
10.13140/rg.2.2.18849.84329/1,IsNewVersionOf,10.13140/rg.2.2.18849.84329,DOI,NA
10.13140/rg.2.2.24983.39846/2,IsNewVersionOf,10.13140/rg.2.2.24983.39846/1,DOI,NA
10.13140/rg.2.2.17545.88161/6,IsNewVersionOf,10.13140/rg.2.2.17545.88161/5,DOI,NA
10.13140/rg.2.2.34600.80645/8,IsNewVersionOf,10.13140/rg.2.2.34600.80645/7,DOI,NA
10.13140/rg.2.2.10675.25127/5,IsNewVersionOf,10.13140/rg.2.2.10675.25127/4,DOI,NA
10.13140/rg.2.2.33532.56964/1,IsNewVersionOf,10.13140/rg.2.2.33532.56964,DOI,NA
10.13140/rg.2.2.30458.31688/2,IsNewVersionOf,10.13140/rg.2.2.30458.31688/1,DOI,NA
10.13140/rg.2.2.28767.28321/7,IsNewVersionOf,10.13140/rg.2.2.28767.28321/6,DOI,NA
10.13140/rg.2.2.35524.24966/4,IsNewVersionOf,10.13140/rg.2.2.35524.24966/3,DOI,NA
10.13140/rg.2.2.13555.96804/1,IsNewVersionOf,10.13140/rg.2.2.13555.96804,DOI,NA
10.13140/rg.2.2.27687.37286/1,IsNewVersionOf,10.13140/rg.2.2.27687.37286,DOI,NA
10.13140/rg.2.2.31636.94086/1,IsNewVersionOf,10.13140/rg.2.2.31636.94086,DOI,NA
10.13140/rg.2.2.19620.91521/1,IsNewVersionOf,10.13140/rg.2.2.19620.91521,DOI,NA
10.13140/rg.2.2.33688.21762/4,IsNewVersionOf,10.13140/rg.2.2.33688.21762/3,DOI,NA
10.13140/rg.2.2.35221.76000/3,IsNewVersionOf,10.13140/rg.2.2.35221.76000/2,DOI,NA
10.13140/rg.2.2.28410.93126/2,IsNewVersionOf,10.13140/rg.2.2.28410.93126/1,DOI,NA
10.13140/rg.2.2.10359.04004/1,IsNewVersionOf,10.13140/rg.2.2.10359.04004,DOI,NA
10.13140/rg.2.2.28430.59203/1,IsNewVersionOf,10.13140/rg.2.2.28430.59203,DOI,NA
10.13140/rg.2.2.33768.21763/1,IsNewVersionOf,10.13140/rg.2.2.33768.21763,DOI,NA
10.13140/rg.2.2.30657.38248/2,IsNewVersionOf,10.13140/rg.2.2.30657.38248/1,DOI,NA
10.13140/rg.2.2.10617.62562/1,IsNewVersionOf,10.13140/rg.2.2.10617.62562,DOI,NA
10.13140/rg.2.2.10783.79524/1,IsNewVersionOf,10.13140/rg.2.2.10783.79524,DOI,NA
10.5281/zenodo.4298527,Cites,https://zenodo.org/record/4036071#.X8UDo2hKiUl,URL,NA
10.5281/zenodo.4298527,Cites,https://zenodo.org/record/3991614#.X8UDo2hKiUl,URL,NA
10.5281/zenodo.4298527,HasVersion,10.5281/zenodo.4298528,DOI,NA
10.5281/zenodo.4298527,HasVersion,10.5281/zenodo.4312695,DOI,NA
10.5281/zenodo.4298527,IsPartOf,https://zenodo.org/communities/covid-19,URL,NA
10.5281/zenodo.4298527,IsPartOf,https://zenodo.org/communities/crises_resources,URL,NA
10.5281/zenodo.4153468,HasVersion,10.5281/zenodo.4153469,DOI,NA
